pos_000;0.024098584391825245,0.38006065409280165,0.007574398464228471;0.5685239887444107,0.2645168891704184,0.01447497187978447;0.06006060560225496,0.39821579434561916,0.01087074225121818;0.5394776028180707,0.2924447848272216,0.01523887470137808;0.03;0.014639139175415039
pos_000;0.01592176918386176,0.3758870505139947,0.0062971430747401635;0.5691291872165971,0.2623108644081843,0.016705970959538685;0.051176280961051174,0.3941044778193271,0.0078965320480118;0.5451381618495232,0.28827920354963626,0.014811155032309092;0.03;0.01429605484008789
pos_000;0.02843870709057661,0.3821530880624273,0.007600987420261107;0.5680357140751373,0.26392395657615486,0.015199627729540865;0.06757433439617982,0.39858624339306836,0.00996241436580584;0.5371280628558686,0.294764120060938,0.014418491312253548;0.03;0.015674829483032227
pos_000;0.03016261101047238,0.38961809703971695,0.01173138182104222;0.5634861553517911,0.2715397760121084,0.01415597747461278;0.06421240327501437,0.3967525382295979,0.008053532008006648;0.5326794465465907,0.29736774882949096,0.014749207604802528;0.03;0.015858888626098633
pos_000;0.02025337461697252,0.3786884628124227,0.005596986791244096;0.5655508730034298,0.2693538812066906,0.014029787960171736;0.05426400853036034,0.39459187703164156,0.007080848586119381;0.5371069462210641,0.2943934446591118,0.015097018551491287;0.03;0.01660442352294922
pos_000;0.03467823645098628,0.38398559695898027,0.0064564232880865435;0.5582898841534077,0.27597026775645334,0.015576891859960751;0.06670312999144343,0.3985938150054299,0.007749796855680812;0.5335244293738686,0.29725471138704795,0.015048430080005263;0.03;0.015384674072265625
pos_000;0.567263079206333,0.2751411642464541,0.02205821557148646;0.013870796881762792,0.3756200075620249,0.0069816552783413255;0.5384127747404428,0.29337405616644685,0.014930874259516317;0.03984468228762475,0.3869575451127708,0.007413136709493007;0.03;0.01571059226989746
pos_000;0.007315263881026268,0.375856150137843,0.011186229366970779;0.5678350593738266,0.26465907565239505,0.014455991073160424;0.03992969194552731,0.3875771592601337,0.006896000269272373;0.5414666760057832,0.2908979941934968,0.014980551748676962;0.03;0.01634526252746582
pos_000;0.5586900319737309,0.2777887558659068,0.014555555882354243;0.007345628065255183,0.3720125864344874,0.00787124300103248;0.5303749206798847,0.2989558048500351,0.015513232305760793;0.04069626768950016,0.3906579766295068,0.012123570680521084;0.03;0.017137527465820312
pos_000;0.0196011487062438,0.37813522111390807,0.006322263256426819;0.5709609349357151,0.2551953388673909,0.017622352945702358;0.057306828454034175,0.3977642749683946,0.011429522379278356;0.5463110253856324,0.28689744861538674,0.014973303469828688;0.03;0.01683950424194336
pos_000;0.014491438138181545,0.3768725913219848,0.00551671690888772;0.5686314135150248,0.2632620890350074,0.01475035489717652;0.04852851527175048,0.3921244593859927,0.006978020775412375;0.5445711388197819,0.289090888381515,0.014281144239492097;0.03;0.018988847732543945
pos_000;0.023452338868999667,0.3795095465395262,0.008302750363403388;0.5613284516898891,0.2749615327621157,0.013993312501543176;0.05853723526380078,0.39609785734845504,0.007656925657615365;0.5350834550811038,0.2957822009767579,0.014988766645919416;0.03;0.015584468841552734
pos_000;0.02557981823173086,0.3802963945179002,0.00808307609805542;0.5720329918189241,0.2680973184787162,0.018291308380483817;0.06113506017903139,0.39528526572926603,0.007400462637360032;0.5440083691572233,0.28854824751208685,0.015212301031889263;0.03;0.015084266662597656
pos_000;0.5627009589142237,0.2729243960976977,0.013853145234536235;0.0034895728444399587,0.3614184339653872,0.011298453538718722;0.5357658294450182,0.2951015440609259,0.015098379739293247;0.036243118768947064,0.3853374066381721,0.007277971688696441;0.03;0.013636350631713867
